Model,Bus,Phase,RMSE,MAE,R2
Persistence,Bus 1,L1,3.256853213972168,0.37891787,0.30251535330203627
Persistence,Bus 1,L2,3.2582830368283684,0.38014376,0.29790498028605084
Persistence,Bus 1,L3,3.255543895464758,0.37514788,0.2990463237165092
Persistence,Bus 2,L1,4.063367545589111,0.31409395,-0.5504772524266592
Persistence,Bus 2,L2,4.044929183887047,0.31403884,-0.5790348124322433
Persistence,Bus 2,L3,4.042881471733054,0.31400427,-0.569187845248126
Ridge,Bus 1,L1,2.8228126497330925,0.444191,0.4760348472096587
Ridge,Bus 1,L2,2.8261895907465653,0.45975223,0.47177272276459425
Ridge,Bus 1,L3,2.822740349887985,0.4465639,0.4730321926008757
Ridge,Bus 2,L1,3.004442105163827,0.274581,0.15234151509279703
Ridge,Bus 2,L2,2.9897390362713736,0.27487198,0.13734654370806687
Ridge,Bus 2,L3,2.9872943121039994,0.27492556,0.14326021158854785
